,tweets,likes,time
55,"RT @AirdropStario: 💧 MetaGo Universe Airdrop 💧

🏆 Task:          ➕ Up to 2750 MEGO

👨‍👩‍👧 Referral:   ➕ 2.5 Million MEGO for the top 100 re…",0,2021-11-15 21:03:08+00:00
56,"Fully active today setting up trade account for all Newbies. All you need is a bitcoin wallet and your start up capital 👌 Send a dm to get started. Make Over $200,000.00 within few weeks/months
https://t.co/5ldB6zUhty.
#lifestyle #bitcoin #cryptocurrency #crypto #happy #family https://t.co/4GO5F0NnPC",0,2021-11-15 21:03:08+00:00
57,"Fully active today setting up trade account for all Newbies. All you need is a bitcoin wallet and your start up capital 👌 Send a dm to get started. Make Over $200,000.00 within few weeks/months
https://t.co/yDW0RwV6uj.
#lifestyle #bitcoin #cryptocurrency #crypto #happy #family https://t.co/oJ1NFRaDVg",0,2021-11-15 21:03:07+00:00
58,"RT @PitbullChart: Let's BITE more Zeroes #PITBULL fam 🚀🚀🚀

Trade $PIT on @MEXC_Global , @BKEXGlobal , @CoinTigerEX , @Hotbit_news, @Pancake…",0,2021-11-15 21:03:07+00:00
59,"@cnni I never thought of meeting a legit bitcoin trader after been scammed many times at my age but the heavens sent @Hendricksnino  guided me and help me make a living through bitcoin with my coinbase app, I recommend you to meet him now and also be a beneficiary of good work",0,2021-11-15 21:03:07+00:00
60,"RT @binance: Bitcoin has grown a lot. But it isn’t as big as the world's biggest companies. How much more could it grow?

Buying Bitcoin is…",0,2021-11-15 21:03:07+00:00
61,"#Bitcoin
Dostlar beklentiyi yöneten gerçekleri satın alır
Piyasa yapıcı netlik vermeyerek yatırımcıya ters köşe planlıyor
62 bandını alt trend seviyesi olarak dünde belirttim
65.7 bandını getirmeleri gerekli
Sabredenlerin sabırsızlara oyun oynacağı vakitler https://t.co/c5hQQvvc1D",4,2021-11-15 21:03:07+00:00
62,"RT @MrwebFinance: Announcing our Cross-Chain Bridge Soon...

Convert any #TRC20 tokens to #BEP20 tokens using mrweb Cross-Chain #BRIDGE ins…",0,2021-11-15 21:03:06+00:00
63,"Fully active today setting up trade account for all Newbies. All you need is a bitcoin wallet and your start up capital 👌 Send a dm to get started. Make Over $200,000.00 within few weeks/months
https://t.co/iCl0kw2Q8a.
#lifestyle #bitcoin #cryptocurrency #crypto #happy #family https://t.co/9CPvHe85Zf",0,2021-11-15 21:03:06+00:00
64,RT @BTC_Archive: 💥BREAKING: VanEck will launch a #Bitcoin Strategy ETF tomorrow!,0,2021-11-15 21:03:06+00:00
65,"Fully active today setting up trade account for all Newbies. All you need is a bitcoin wallet and your start up capital 👌 Send a dm to get started. Make Over $200,000.00 within few weeks/months
https://t.co/8bLt2bTPW7.
#lifestyle #bitcoin #cryptocurrency #crypto #happy #family https://t.co/FMPou3b04h",0,2021-11-15 21:03:05+00:00
66,"Trending on #LunarCrush:

""#Bitcoin just had the highest weekly close ever at $65.5k"" via @intocryptoverse

Top coin mentions
$btc

https://t.co/X3hu7wKxFd #LunarShare https://t.co/SyUm9If3fU",0,2021-11-15 21:03:05+00:00
67,"📉💴$3,471,867 #bitcoin SHORTED @$63540.28 [15/11/21 21:03:05]
🏭 bybit | $BTCUSD

🗣️if you don’t like that you don’t like NBA basketball! - TraderJames13",0,2021-11-15 21:03:05+00:00
68,RT @JoseValdezSV: Los “expertos” en Bitcoin de la UCA. https://t.co/dMQDOdP1A9,0,2021-11-15 21:03:05+00:00
69,"RT @TheMoonCarl: If #Bitcoin does not hit $100,000 before the end of next year then I’ll delete my Twitter...",0,2021-11-15 21:03:05+00:00
70,"#NewSignal from #MRSIGNAL 📊☄️
Position: ExitShort
Price: 63616.66
بکشید بیرون عشق کنید با سودی که کردین 😅🥰

#bitcoin #futures #ctypro #cryptocurrency #trade #tradesignal #vipsignal",0,2021-11-15 21:03:05+00:00
71,"RT @enginerdoganxu: Ücretsiz Teknik Analiz şöleni 🚀

Emeğe saygı için lütfen RT - FAV tuşuna basın ❤️

Hafta sonuna kadar sabitliyorum 🔥

L…",0,2021-11-15 21:03:04+00:00
72,"«Compren ya, bitcoin valdrá USD 500 mil y no hay suficiente para todos», dice Scaramucci https://t.co/L8dUXK97Dc",0,2021-11-15 21:03:04+00:00
