,Date,Open,High,Low,Adj Close,Volume,ref_Close,Perc_ref,Perc_Change,Ticker,Net_Close,Net_High,Net_Low,PC 1,PC 2,PC 3,Class
65,2020-04-06,2.86,3.2,2.83,3.09,3340500,-3.22,-0.5103011093502378,0.0744336569579288,GME,0.2299999999999999,0.3400000000000003,-0.0299999999999998,-0.7991969873883839,-0.692647390663609,0.15586804283763692,0
66,2020-04-07,3.39,3.44,3.1,3.27,2836900,-3.04,-0.4817749603803486,-0.036697247706422,GME,-0.1200000000000001,0.0499999999999998,-0.29,-0.6104624749606501,-0.8357249363760363,0.21020890175142057,0
67,2020-04-08,3.23,3.67,3.2,3.41,2884500,-2.8999999999999995,-0.4595879556259904,0.0527859237536657,GME,0.1800000000000001,0.4399999999999999,-0.0299999999999998,-0.7951710931206988,-0.6721920585916364,0.099822573338289,0
68,2020-04-09,3.6,4.25,3.49,3.89,5908600,-2.4199999999999995,-0.3835182250396196,0.0745501285347043,GME,0.29,0.6499999999999999,-0.1099999999999998,-0.7834010314626815,-0.450693918810119,0.14997426374290515,0
69,2020-04-13,4.25,4.76,4.16,4.74,6844500,-1.5699999999999994,-0.2488114104595878,0.1033755274261603,GME,0.4900000000000002,0.5099999999999998,-0.0899999999999998,-0.8262877205761784,-0.4606630303195327,0.24267093492620334,0
70,2020-04-14,5.21,6.47,5.14,5.95,13506600,-0.3599999999999994,-0.057052297939778,0.1243697478991597,GME,0.7400000000000002,1.2599999999999998,-0.0700000000000002,-0.8849585144968133,0.13211985742393675,0.2736043194904481,0
71,2020-04-15,5.66,5.67,4.9,5.27,7499900,-1.04,-0.1648177496038035,-0.0740037950664137,GME,-0.3900000000000005,0.0099999999999997,-0.7599999999999998,-0.34365673192192536,-0.6469804598710491,0.3818440672514046,0
72,2020-04-16,5.12,5.44,4.88,5.03,3371900,-1.2799999999999994,-0.2028526148969888,-0.0178926441351888,GME,-0.0899999999999998,0.3200000000000003,-0.2400000000000002,-0.6451523463397512,-0.7036629108133499,0.1429202832193812,0
73,2020-04-17,5.22,5.28,4.43,4.88,5653200,-1.4299999999999995,-0.2266244057052297,-0.0696721311475409,GME,-0.3399999999999998,0.0600000000000005,-0.79,-0.3619560903978847,-0.6937024324967559,0.27577485054230266,0
74,2020-04-20,4.85,5.9,4.78,5.61,6085000,-0.6999999999999993,-0.1109350237717907,0.1354723707664885,GME,0.7600000000000007,1.0500000000000007,-0.0699999999999994,-0.9339827816900683,-0.24902064847757402,0.01257834371201376,0
75,2020-04-21,5.23,5.3,4.76,4.78,4142100,-1.5299999999999994,-0.2424722662440569,-0.0941422594142259,GME,-0.4500000000000002,0.0699999999999994,-0.4700000000000006,-0.4569557044859422,-0.7825197056326618,0.24440601360321965,0
76,2020-04-22,5.14,5.17,4.83,4.89,2677800,-1.42,-0.225039619651347,-0.0511247443762781,GME,-0.25,0.0300000000000002,-0.3099999999999996,-0.5711675772341448,-0.857262341281809,0.20945603619278325,0
77,2020-04-23,4.75,4.89,4.58,4.7,2265900,-1.6099999999999994,-0.2551505546751187,-0.0106382978723403,GME,-0.0499999999999998,0.1399999999999996,-0.1699999999999999,-0.678359283202429,-0.8258856581237086,0.1657096015306692,0
78,2020-04-24,4.78,4.85,4.66,4.77,2236200,-1.54,-0.2440570522979398,-0.0020964360587003,GME,-0.0100000000000006,0.0699999999999994,-0.1200000000000001,-0.7023233172961527,-0.8577670188163118,0.19519851731429405,0
79,2020-04-27,4.85,5.99,4.81,5.82,7275100,-0.4899999999999993,-0.0776545166402534,0.1666666666666667,GME,0.9700000000000006,1.1400000000000006,-0.04,-0.9927258205442121,-0.15287535385653114,0.03502184342265524,0
80,2020-04-28,5.92,6.04,5.06,5.64,5200200,-0.6699999999999999,-0.1061806656101426,-0.049645390070922,GME,-0.2800000000000002,0.1200000000000001,-0.8600000000000003,-0.3591275526169686,-0.6770326424130794,0.22423797570882087,0
81,2020-04-29,5.83,6.09,5.45,6.04,3369600,-0.2699999999999996,-0.0427892234548335,0.0347682119205298,GME,0.2099999999999999,0.2599999999999998,-0.3799999999999999,-0.6686422446873836,-0.6979859764141493,0.14330350181478677,0
82,2020-04-30,5.87,5.98,5.64,5.73,2173300,-0.5799999999999992,-0.0919175911251979,-0.0244328097731238,GME,-0.1399999999999996,0.1100000000000003,-0.2300000000000004,-0.6342109318778006,-0.8431276215589112,0.16613765122540253,0
83,2020-05-01,5.65,6.18,5.45,6.05,4005600,-0.2599999999999998,-0.0412044374009508,0.0661157024793387,GME,0.3999999999999994,0.5299999999999994,-0.2000000000000001,-0.7876420236532933,-0.5619838219156531,0.09445148069142206,0
