,Date,Open,High,Low,Adj Close,Volume,b_ref_Close,b_Perc_ref,a_ref_Close,a_Perc_ref,Ticker,Net_Close,Net_High
105,2020-06-03,4.24,4.52,4.2,4.44,3037400,-1.1999999999999993,-0.2127659574468084,-49.06,-0.9170093457943925,GME,0.20000000000000018,0.27999999999999936
106,2020-06-04,4.44,4.72,4.37,4.47,3514300,-1.17,-0.2074468085106383,-49.03,-0.9164485981308411,GME,0.02999999999999936,0.27999999999999936
107,2020-06-05,4.29,4.41,4.09,4.14,6274400,-1.5,-0.26595744680851063,-49.36,-0.9226168224299065,GME,-0.15000000000000036,0.1200000000000001
108,2020-06-08,4.28,5.14,4.27,5.01,10133700,-0.6299999999999999,-0.11170212765957445,-48.49,-0.9063551401869159,GME,0.7299999999999995,0.8599999999999994
109,2020-06-09,5.0,5.0,4.55,4.96,8073400,-0.6799999999999997,-0.12056737588652477,-48.54,-0.9072897196261682,GME,-0.040000000000000036,0.0
110,2020-06-10,4.78,5.53,4.68,5.07,10606400,-0.5699999999999994,-0.10106382978723394,-48.43,-0.9052336448598131,GME,0.29000000000000004,0.75
111,2020-06-11,4.64,4.9,4.18,4.37,6236000,-1.2699999999999996,-0.22517730496453894,-49.13,-0.9183177570093458,GME,-0.2699999999999996,0.2600000000000007
112,2020-06-12,4.6,4.78,4.39,4.72,4378200,-0.9199999999999999,-0.1631205673758865,-48.78,-0.9117757009345795,GME,0.1200000000000001,0.1800000000000006
113,2020-06-15,4.5,4.77,4.42,4.69,3909000,-0.9499999999999993,-0.16843971631205662,-48.81,-0.9123364485981309,GME,0.1900000000000004,0.2699999999999996
114,2020-06-16,4.95,4.95,4.51,4.64,3121300,-1.0,-0.1773049645390071,-48.86,-0.9132710280373831,GME,-0.3100000000000005,0.0
115,2020-06-17,4.54,4.83,4.53,4.76,3593500,-0.8799999999999999,-0.15602836879432624,-48.74,-0.9110280373831776,GME,0.21999999999999975,0.29000000000000004
116,2020-06-18,4.67,4.95,4.65,4.95,3423800,-0.6899999999999995,-0.1223404255319148,-48.55,-0.9074766355140187,GME,0.28000000000000025,0.28000000000000025
117,2020-06-19,4.95,5.08,4.69,4.88,7366600,-0.7599999999999998,-0.13475177304964536,-48.62,-0.9087850467289719,GME,-0.07000000000000028,0.1299999999999999
118,2020-06-22,4.79,4.95,4.72,4.87,3178900,-0.7699999999999996,-0.13652482269503538,-48.63,-0.9089719626168224,GME,0.08000000000000007,0.16000000000000014
119,2020-06-23,4.95,4.99,4.8,4.83,3205400,-0.8099999999999996,-0.14361702127659567,-48.67,-0.9097196261682243,GME,-0.1200000000000001,0.040000000000000036
120,2020-06-24,4.83,4.84,4.38,4.41,2976200,-1.2299999999999995,-0.21808510638297865,-49.09,-0.9175700934579439,GME,-0.41999999999999993,0.009999999999999787
121,2020-06-25,4.33,4.54,4.3,4.46,2450800,-1.1799999999999997,-0.20921985815602834,-49.04,-0.9166355140186916,GME,0.1299999999999999,0.20999999999999996
122,2020-06-26,4.48,4.5,4.27,4.35,3801200,-1.29,-0.22872340425531917,-49.15,-0.9186915887850468,GME,-0.13000000000000078,0.019999999999999574
123,2020-06-29,4.35,4.52,4.3,4.38,2131200,-1.2599999999999998,-0.2234042553191489,-49.12,-0.9181308411214952,GME,0.03000000000000025,0.16999999999999993
124,2020-06-30,4.33,4.51,4.2,4.34,3889000,-1.2999999999999998,-0.2304964539007092,-49.16,-0.9188785046728971,GME,0.009999999999999787,0.17999999999999972
125,2020-07-01,4.31,4.5,4.31,4.44,2303700,-1.1999999999999993,-0.2127659574468084,-49.06,-0.9170093457943925,GME,0.13000000000000078,0.1900000000000004
