Date,Open,High,Low,Close,Adj Close,Volume
2020-04-23,0.430000,0.500000,0.400000,0.500000,0.500000,3280300
2020-04-24,0.480000,0.480000,0.430000,0.470000,0.470000,661200
2020-04-27,0.510000,0.510000,0.450000,0.460000,0.460000,581400
2020-04-28,0.460000,0.470000,0.430000,0.440000,0.440000,313900
2020-04-29,0.480000,0.550000,0.460000,0.480000,0.480000,3810800
2020-04-30,0.500000,0.500000,0.430000,0.450000,0.450000,1285000
2020-05-01,0.450000,0.450000,0.410000,0.440000,0.440000,483800
2020-05-04,0.460000,0.460000,0.410000,0.430000,0.430000,558000
2020-05-05,0.440000,0.500000,0.430000,0.450000,0.450000,6301500
2020-05-06,0.510000,0.620000,0.470000,0.520000,0.520000,8662800
2020-05-07,0.550000,0.700000,0.530000,0.670000,0.670000,9859100
2020-05-08,0.730000,1.120000,0.680000,0.900000,0.900000,32496400
2020-05-11,0.800000,0.830000,0.700000,0.760000,0.760000,9327000
2020-05-12,0.710000,0.750000,0.610000,0.620000,0.620000,4665000
2020-05-13,0.660000,0.740000,0.620000,0.740000,0.740000,7863000
2020-05-14,0.850000,1.050000,0.760000,0.860000,0.860000,20875600
2020-05-15,0.780000,0.840000,0.720000,0.800000,0.800000,3576400
2020-05-18,0.860000,0.870000,0.780000,0.810000,0.810000,2694300
2020-05-19,0.820000,0.860000,0.790000,0.810000,0.810000,2770600
2020-05-20,0.850000,0.940000,0.810000,0.830000,0.830000,6305200
2020-05-21,0.800000,0.810000,0.700000,0.710000,0.710000,3494300
2020-05-22,0.710000,0.740000,0.700000,0.730000,0.730000,1786900
2020-05-26,0.710000,0.720000,0.660000,0.720000,0.720000,1907200
2020-05-27,0.730000,0.750000,0.700000,0.720000,0.720000,1979800
2020-05-28,0.750000,0.760000,0.710000,0.730000,0.730000,2828700
2020-05-29,0.770000,0.780000,0.680000,0.700000,0.700000,1876000
2020-06-01,0.720000,0.750000,0.710000,0.730000,0.730000,4256700
2020-06-02,0.880000,0.980000,0.790000,0.820000,0.820000,14269500
2020-06-03,0.960000,0.970000,0.840000,0.920000,0.920000,12774800
2020-06-04,0.910000,1.180000,0.860000,1.090000,1.090000,11848200
2020-06-05,1.050000,1.060000,0.920000,1.000000,1.000000,3812100
